original_id,provider_name_en,provider_name_cy,source_name_en,source_name_cy
10281,Welsh Government,Llywodraeth Cymru,Land Parcel Identification System (LPIS),System Adnabod Parseli Tir (LPIS)
10094,Welsh Government,Llywodraeth Cymru,Lifelong Learning Wales Record (LLWR),Cofnod Dysgu Gydol Oes Cymru (LLWR)
10013,Welsh Government,Llywodraeth Cymru,Local authority register of persons with learning disabilities (SSDA901) data collection,Casgliad data am gofrestr awdurdodau lleol o bobl ag anableddau dysgu (SSDA901)
10012,Welsh Government,Llywodraeth Cymru,Local authority register of persons with physical or sensory disabilities (SSDA900) data collection,Casgliad data am gofrestr awdurdodau lleol o bobl ag anableddau corfforol neu ar eu synhwyrau (SSDA900)
10298,Welsh Government,Llywodraeth Cymru,Local Authority School Counselling Services collection,Casglu data Gwasanaethau Cwnsela mewn Ysgolion
10029,Welsh Government,Llywodraeth Cymru,Local government settlement,Setliad llywodraeth leol
10326,Welsh Government,Llywodraeth Cymru,Looked After Children Census,Cyfrifiad Plant sy'n Derbyn Gofal
10314,Welsh Government,Llywodraeth Cymru,Low Carbon Energy Survey,Arolwg o Ynni Carbon Isel
10306,Welsh Government,Llywodraeth Cymru,Mental Health (Wales) Measure data collection,Casglu data Mesur Iechyd Meddwl (Cymru)
10299,Welsh Government,Llywodraeth Cymru,National Reading and Numeracy Tests data collection,Casglu data Canlyniadau Profion Darllen a Rhifedd Cenedlaethol
10297,Welsh Government,Llywodraeth Cymru,National rough sleeper count,Cyfrif cenedlaethol o gysgu allan
10015,Welsh Government,Llywodraeth Cymru,National Strategic Indicators (NSI) data collection,Casgliad data am Ddangosyddion Strategol Cenedlaethol (NSI)
10225,Welsh Government,Llywodraeth Cymru,National Survey for Wales,Arolwg Cenedlaethol Cymru
10121,Welsh Government,Llywodraeth Cymru,National teacher assessment data collection,Casgliad data asesiadau athrawon cenedlaethol
10038,Welsh Government,Llywodraeth Cymru,New house building data collection,Casgliad data am adeiladu tai newydd
10026,Welsh Government,Llywodraeth Cymru,Non-domestic rates estimates (NDR1) data collection,Casgliad data am amcangyfrifon ardrethi annomestig (NDR1)
10025,Welsh Government,Llywodraeth Cymru,Non-domestic rates outturn (NDR3) data collection,Casgliad data alldro ardrethi annomestig (NDR3)
10255,Welsh Government,Llywodraeth Cymru,Payroll data,Data y gyflogres
10373,Welsh Government,Llywodraeth Cymru,Performance and improvement framework for social services,Fframwaith perfformiad a gwella gwasanaethau cymdeithasol
10005,Welsh Government,Llywodraeth Cymru,Performance management of adult's social services (PM2) data collection,Casgliad data am reoli perfformiad gwasanaethau cymdeithasol i oedolion (PM2)
10004,Welsh Government,Llywodraeth Cymru,Performance management of children's social services (PM1) data collection,Casgliad data am reoli perfformiad gwasanaethau cymdeithasol i blant (PM1)
10060,Welsh Government,Llywodraeth Cymru,Population projections for local authorities in Wales,Amcanestyniadau poblogaeth ar gyfer awdurdodau lleol yng Nghymru
10369,Welsh Government,Llywodraeth Cymru,Population projections for National Park areas in Wales,Amcanestyniadau poblogaeth ar gyfer ardaloedd Parciau Cenedlaethol yng Nghymru
10063,Welsh Government,Llywodraeth Cymru,Population projections for Spatial Plan areas in Wales,Amcanestyniadau poblogaeth ar gyfer ardaloedd Cynllunio Gofodol yng Nghymru
10045,Welsh Government,Llywodraeth Cymru,Possessions and evictions data collection,Casgliad data am gymryd meddiant a throi allan
10184,Welsh Government,Llywodraeth Cymru,Post-16 Pupil Level Annual School Census (PLASC),Ôl-16 Cyfrifiad Ysgolion Blynyddol ar Lefel Disgyblion (PLASC)
10042,Welsh Government,Llywodraeth Cymru,Private sector renewal data collection,Casgliad data am adfywio sector preifat
10340,Welsh Government,Llywodraeth Cymru,Projections for local authorities in Wales,Amcanestyniadau poblogaeth ar gyfer awdurdodau lleol yng Nghymru
10031,Welsh Government,Llywodraeth Cymru,Protection of vulnerable adults (PVA2) data collection,Casgliad data am amddiffyn oedolion sy'n agored i niwed (PVA2)
10111,Welsh Government,Llywodraeth Cymru,Pupil Level Annual School Census (PLASC),Cyfrifiad Ysgolion Blynyddol ar Lefel Disgyblion (PLASC)
10291,Welsh Government,Llywodraeth Cymru,Pupils Educated Other Than At School (EOTAS),Disgyblion Sy'n Derbyn Addysg Heblaw Yn Yr Ysgol (EOTAS)
10199,Welsh Government,Llywodraeth Cymru,Pupils leaving education with no qualifications collection,Disgyblion sy'n ymadael ag addysg heb gymhwysterau casgliad
10200,Welsh Government,Llywodraeth Cymru,Pupils with statements of special educational needs collection,Disgyblion â datganiad o gasgliad anghenion addysgol arbennig
10112,Welsh Government,Llywodraeth Cymru,Pupils' attendance record,Cofnod presenoldeb disgyblion
10113,Welsh Government,Llywodraeth Cymru,Pupils' exclusions record,Cofnod gwaharddiadau disgyblion
10357,Welsh Government,Llywodraeth Cymru,Removal of a suspected mentally disordered person to a place of safety (s.135 and s.136 Mental Health Act) data collection,Tynnu person dan amheuaeth o anhwylder meddwl i le diogel (a.135 ac a.136 Deddf Iechyd Meddwl) casglu data
10154,Welsh Government,Llywodraeth Cymru,Renewal areas data collection,Casgliad data am ardaloedd adfywio
10207,Welsh Government,Llywodraeth Cymru,Rent Officers Wales,Swyddogion Rhenti Cymru
10163,Welsh Government,Llywodraeth Cymru,Reported road accidents system,System adroddiadau damweiniau ffyrdd
10018,Welsh Government,Llywodraeth Cymru,Revenue budget (RA) data collection,Casgliad data cyllideb refeniw (RA)
10017,Welsh Government,Llywodraeth Cymru,Revenue outturn (RO) data collection,Casgliad data alldro refeniw (RO)
10258,Welsh Government,Llywodraeth Cymru,Road condition data collection,Casglu data ar gyflwr y ffyrdd
10338,Welsh Government,Llywodraeth Cymru,Road conditions of motorways and A trunk roads,Cyflwr ffyrdd traffyrdd a chefnffyrdd A
10237,Welsh Government,Llywodraeth Cymru,Road lengths data collection,Casglu data ar hydoedd ffyrdd
10280,Welsh Government,Llywodraeth Cymru,Rural Payment Wales payment records,Cofnodion taliadau Taliadau Gwledig Cymru
10358,Welsh Government,Llywodraeth Cymru,School Workforce Annual Census (SWAC),Cyfrifiad Blynyddol o'r Gweithlu Ysgol (SWAC)
10286,Welsh Government,Llywodraeth Cymru,Sheep and Goat Inventory,Stocrestr o Ddefaid a Geifr
10319,Welsh Government,Llywodraeth Cymru,Short term output indicators,Dangosyddion allbynnau tymor byr
10318,Welsh Government,Llywodraeth Cymru,Smoking cessation services data collection,Casgliad data gwasanaethau rhoi’r gorau i ysmygu
10036,Welsh Government,Llywodraeth Cymru,Social housing lettings data collection,Casgliad data am dai cymdeithasol ar osod
10041,Welsh Government,Llywodraeth Cymru,Social housing quality data collection,Casgliad data am ansawdd tai cymdeithasol
10037,Welsh Government,Llywodraeth Cymru,Social housing rent arrears data collection,Casgliad data am ôl-ddyledion rhent tai cymdeithasol
10003,Welsh Government,Llywodraeth Cymru,Social housing sales data collection,Casgliad data am werthiant tai cymdeithasol
10035,Welsh Government,Llywodraeth Cymru,Social housing vacancies data collection,Casgliad data am leoedd gwag mewn tai cymdeithasol
10002,Welsh Government,Llywodraeth Cymru,Social landlord stock and rents data collection,Casgliad data am stoc a rhenti landlordiaid cymdeithasol
10368,Welsh Government,Llywodraeth Cymru,"Specialist Child and Adolescent Mental Health Services (sCAMHS), First appointment waiting times data collection","Gwasanaethau Iechyd Meddwl Plant a'r Glasoed Arbenigol (sCAMHS), Penodiad cyntaf amseroedd aros casglu data"
10011,Welsh Government,Llywodraeth Cymru,Staffing of local authority social services (STF) data collection,Casgliad data am staffio gwasanaethau cymdeithasol awdurdodau lleol (STF)
10259,Welsh Government,Llywodraeth Cymru,Standard Assessment Procedure (SAP) ratings data from largest social housing providers,Data ar raddfeydd y Weithdrefn Asesu Safonol (SAP) gan y prif ddarparwyr tai cymdeithasol
10117,Welsh Government,Llywodraeth Cymru,State of the Environment Report,Adroddiad ar Gyflwr yr Amgylchedd
10051,Welsh Government,Llywodraeth Cymru,Sub-national housing projections for Wales,Amcanestyniadau tai is-genedlaethol ar gyfer Cymru
10120,Welsh Government,Llywodraeth Cymru,Sustainable Development Indicators for Wales,Adroddiad Dangosyddion Datblygiad Cynaliadwy ar gyfer Cymru
10201,Welsh Government,Llywodraeth Cymru,Teacher sickness absence annual returns,Casgliad blynyddol absenoldeb athrawon drwy salwch
10127,Welsh Government,Llywodraeth Cymru,Welsh Examinations Database,Cronfa Ddata Arholiadau Cymru
10129,Welsh Government,Llywodraeth Cymru,Welsh Health Survey,Arolwg Iechyd Cymru
10337,Welsh Government,Llywodraeth Cymru,Welsh Housing Conditions Survey,Arolwg Cyflwr Tai Cymru
10135,Welsh Government,Llywodraeth Cymru,Welsh Index of Multiple Deprivation (WIMD),Mynegai Amddifadedd Lluosog Cymru (MALIC)
10229,Welsh Government,Llywodraeth Cymru,Welsh language skills needs in eight sectors,Anghenion o ran sgiliau Cymraeg mewn wyth sector
10245,Welsh Government,Llywodraeth Cymru,Welsh Language Strategy,Strategaeth yr Iaith Gymraeg
10152,Welsh Government,Llywodraeth Cymru,Youth Service data collection,Casgliad data am y Gwasanaeth Ieuenctid
10136,Welsh Joint Education Committee,Cydbwyllgor Addysg Cymru,Annual Report,Adroddiad Blynyddol
,Welsh Revenue Authority,Awdurdod Cyllid Cymru,Land transaction tax returns,Ffurflenni treth trafodiadau tir
,Welsh Revenue Authority,Awdurdod Cyllid Cymru,Landfill disposals tax returns,Ffurflenni treth gwarediadau tirlenwi
10210,Woodland Trust,Coed Cadw,Space for People report,Adroddiad Space for People
